Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G87""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H87""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3 Files,,,,
Save As,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G89""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H89""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G90""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H90""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G91""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H91""))>0,0),""Mac Pass"",""Mac Fail"")",,.GSP,,,,
Save Selection,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G93""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H93""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G94""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H94""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3,,,,
Export SVG,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G96""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H96""))>0,0),""Mac Pass"",""Mac Fail"")",,Export file as SVG,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G97""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H97""))>0,0),""Mac Pass"",""Mac Fail"")",,Export store design as SVG,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G98""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H98""))>0,0),""Mac Pass"",""Mac Fail"")",,Verify the files are saved correctly,Busniness Edition feature.,,,
Export PDF,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G100""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H100""))>0,0),""Mac Pass"",""Mac Fail"")",,Export file as PDF,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G101""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H101""))>0,0),""Mac Pass"",""Mac Fail"")",,Export store design as PDF,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G102""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H102""))>0,0),""Mac Pass"",""Mac Fail"")",,Verify the files are saved correctly,Busniness Edition feature.,,,
Export JPEG,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G104""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H104""))>0,0),""Mac Pass"",""Mac Fail"")",,Export file as JPEG,Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G105""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H105""))>0,0),""Mac Pass"",""Mac Fail"")",,Width in Pixels (3 inputs),Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G106""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H106""))>0,0),""Mac Pass"",""Mac Fail"")",,Height in Pixels (3 inputs),Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G107""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H107""))>0,0),""Mac Pass"",""Mac Fail"")",,Dots per Inch (3 inputs),Busniness Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G108""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H108""))>0,0),""Mac Pass"",""Mac Fail"")",,Verify the files are saved correctly,Busniness Edition feature.,,,
Recovered Docs,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G110""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H110""))>0,0),""Mac Pass"",""Mac Fail"")",,All tabs saved upon force quitting Studio,Close Studio by the task manager,,,
Recover file types,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G112""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H112""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G113""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H113""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3 Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G114""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H114""))>0,0),""Mac Pass"",""Mac Fail"")",,.GSD Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G115""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H115""))>0,0),""Mac Pass"",""Mac Fail"")",,.DXF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G116""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H116""))>0,0),""Mac Pass"",""Mac Fail"")",,.PNG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G117""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H117""))>0,0),""Mac Pass"",""Mac Fail"")",,.JPG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G118""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H118""))>0,0),""Mac Pass"",""Mac Fail"")",,.BMP Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G119""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H119""))>0,0),""Mac Pass"",""Mac Fail"")",,.GIF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G120""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H120""))>0,0),""Mac Pass"",""Mac Fail"")",,.TIF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G121""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H121""))>0,0),""Mac Pass"",""Mac Fail"")",,.PDF Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G122""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H122""))>0,0),""Mac Pass"",""Mac Fail"")",,.SVG Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G123""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H123""))>0,0),""Mac Pass"",""Mac Fail"")",,.EPS Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G124""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H124""))>0,0),""Mac Pass"",""Mac Fail"")",,.AI Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G125""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H125""))>0,0),""Mac Pass"",""Mac Fail"")",,.CDR Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G126""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H126""))>0,0),""Mac Pass"",""Mac Fail"")",,.DST Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G127""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H127""))>0,0),""Mac Pass"",""Mac Fail"")",,.EXP Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G128""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H128""))>0,0),""Mac Pass"",""Mac Fail"")",,.JEF Files - Embroidery File,Designer Edition+ and above.,,,
