Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
3,"=IFS(INDIRECT(""Setup!B58"")=True,""Pass"",INDIRECT(""Setup!C58"")=True,""Fail"",INDIRECT(""Setup!D58"")=True,""N/A"",INDIRECT(""Setup!E58"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F58"")=True,""Pass"",INDIRECT(""Setup!G58"")=True,""Fail"",INDIRECT(""Setup!H58"")=True,""N/A"",INDIRECT(""Setup!I58"")=True,""Retest"")",.AI Files,,,,
3,"=IFS(INDIRECT(""Setup!B59"")=True,""Pass"",INDIRECT(""Setup!C59"")=True,""Fail"",INDIRECT(""Setup!D59"")=True,""N/A"",INDIRECT(""Setup!E59"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F59"")=True,""Pass"",INDIRECT(""Setup!G59"")=True,""Fail"",INDIRECT(""Setup!H59"")=True,""N/A"",INDIRECT(""Setup!I59"")=True,""Retest"")",.CDR Files,,,,
3,"=IFS(INDIRECT(""Setup!B60"")=True,""Pass"",INDIRECT(""Setup!C60"")=True,""Fail"",INDIRECT(""Setup!D60"")=True,""N/A"",INDIRECT(""Setup!E60"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F60"")=True,""Pass"",INDIRECT(""Setup!G60"")=True,""Fail"",INDIRECT(""Setup!H60"")=True,""N/A"",INDIRECT(""Setup!I60"")=True,""Retest"")",.DST Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B61"")=True,""Pass"",INDIRECT(""Setup!C61"")=True,""Fail"",INDIRECT(""Setup!D61"")=True,""N/A"",INDIRECT(""Setup!E61"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F61"")=True,""Pass"",INDIRECT(""Setup!G61"")=True,""Fail"",INDIRECT(""Setup!H61"")=True,""N/A"",INDIRECT(""Setup!I61"")=True,""Retest"")",.EXP Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B62"")=True,""Pass"",INDIRECT(""Setup!C62"")=True,""Fail"",INDIRECT(""Setup!D62"")=True,""N/A"",INDIRECT(""Setup!E62"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F62"")=True,""Pass"",INDIRECT(""Setup!G62"")=True,""Fail"",INDIRECT(""Setup!H62"")=True,""N/A"",INDIRECT(""Setup!I62"")=True,""Retest"")",.JEF Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B63"")=True,""Pass"",INDIRECT(""Setup!C63"")=True,""Fail"",INDIRECT(""Setup!D63"")=True,""N/A"",INDIRECT(""Setup!E63"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F63"")=True,""Pass"",INDIRECT(""Setup!G63"")=True,""Fail"",INDIRECT(""Setup!H63"")=True,""N/A"",INDIRECT(""Setup!I63"")=True,""Retest"")",.PES Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B64"")=True,""Pass"",INDIRECT(""Setup!C64"")=True,""Fail"",INDIRECT(""Setup!D64"")=True,""N/A"",INDIRECT(""Setup!E64"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F64"")=True,""Pass"",INDIRECT(""Setup!G64"")=True,""Fail"",INDIRECT(""Setup!H64"")=True,""N/A"",INDIRECT(""Setup!I64"")=True,""Retest"")",.XXX Files - Embroidery File,Designer Edition+ and above.,,,
,Drag and Drop,,,,,,
2,"=IFS(INDIRECT(""Setup!B66"")=True,""Pass"",INDIRECT(""Setup!C66"")=True,""Fail"",INDIRECT(""Setup!D66"")=True,""N/A"",INDIRECT(""Setup!E66"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F66"")=True,""Pass"",INDIRECT(""Setup!G66"")=True,""Fail"",INDIRECT(""Setup!H66"")=True,""N/A"",INDIRECT(""Setup!I66"")=True,""Retest"")",.STUDIO Files,,,,
2,"=IFS(INDIRECT(""Setup!B67"")=True,""Pass"",INDIRECT(""Setup!C67"")=True,""Fail"",INDIRECT(""Setup!D67"")=True,""N/A"",INDIRECT(""Setup!E67"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F67"")=True,""Pass"",INDIRECT(""Setup!G67"")=True,""Fail"",INDIRECT(""Setup!H67"")=True,""N/A"",INDIRECT(""Setup!I67"")=True,""Retest"")",.STUDIO3 Files,,,,
3,"=IFS(INDIRECT(""Setup!B68"")=True,""Pass"",INDIRECT(""Setup!C68"")=True,""Fail"",INDIRECT(""Setup!D68"")=True,""N/A"",INDIRECT(""Setup!E68"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F68"")=True,""Pass"",INDIRECT(""Setup!G68"")=True,""Fail"",INDIRECT(""Setup!H68"")=True,""N/A"",INDIRECT(""Setup!I68"")=True,""Retest"")",.GSD Files,,,,
3,"=IFS(INDIRECT(""Setup!B69"")=True,""Pass"",INDIRECT(""Setup!C69"")=True,""Fail"",INDIRECT(""Setup!D69"")=True,""N/A"",INDIRECT(""Setup!E69"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F69"")=True,""Pass"",INDIRECT(""Setup!G69"")=True,""Fail"",INDIRECT(""Setup!H69"")=True,""N/A"",INDIRECT(""Setup!I69"")=True,""Retest"")",.DXF Files,,,,
3,"=IFS(INDIRECT(""Setup!B70"")=True,""Pass"",INDIRECT(""Setup!C70"")=True,""Fail"",INDIRECT(""Setup!D70"")=True,""N/A"",INDIRECT(""Setup!E70"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F70"")=True,""Pass"",INDIRECT(""Setup!G70"")=True,""Fail"",INDIRECT(""Setup!H70"")=True,""N/A"",INDIRECT(""Setup!I70"")=True,""Retest"")",.PNG Files,,,,
