Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win,Mac,Level,Task,Notes,Ticket No.,Win,Mac
Save Selection,,,,,,,
"=Switch(INDIRECT(""G93""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H93""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,.STUDIO,,,,
"=Switch(INDIRECT(""G94""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H94""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,.STUDIO3,,,,
Export SVG,,,,,,,
"=Switch(INDIRECT(""G96""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H96""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Export file as SVG,Busniness Edition feature.,,,
"=Switch(INDIRECT(""G97""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H97""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Export store design as SVG,Busniness Edition feature.,,,
"=Switch(INDIRECT(""G98""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H98""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Verify the files are saved correctly,Busniness Edition feature.,,,
Export PDF,,,,,,,
"=Switch(INDIRECT(""G100""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H100""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Export file as PDF,Busniness Edition feature.,,,
"=Switch(INDIRECT(""G101""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H101""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Export store design as PDF,Busniness Edition feature.,,,
"=Switch(INDIRECT(""G102""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H102""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,Verify the files are saved correctly,Busniness Edition feature.,,,
Export JPEG,,,,,,,
"=Switch(INDIRECT(""G104""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H104""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Export file as JPEG,Busniness Edition feature.,,,
"=Switch(INDIRECT(""G105""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H105""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Width in Pixels (3 inputs),Busniness Edition feature.,,,
"=Switch(INDIRECT(""G106""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H106""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Height in Pixels (3 inputs),Busniness Edition feature.,,,
"=Switch(INDIRECT(""G107""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H107""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Dots per Inch (3 inputs),Busniness Edition feature.,,,
"=Switch(INDIRECT(""G108""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H108""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Verify the files are saved correctly,Busniness Edition feature.,,,
Recovered Docs,,,,,,,
"=Switch(INDIRECT(""G110""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H110""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,All tabs saved upon force quitting Studio,Close Studio by the task manager,,,
Recover file types,,,,,,,
"=Switch(INDIRECT(""G112""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H112""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",2,.STUDIO Files,,,,
